;Status legend;Reviewed legend;;
Shitcoin;;AI written;Shitcoin is a derogatory term for cryptocurrencies other than Bitcoin, implying they lack sound monetary properties or meaningful utility. From a Bitcoin maximalist perspective, all altcoins fall under this category due to inferior security or centralization.;
Sidechain;;AI written;A sidechain is a blockchain interoperable with Bitcoin via a two-way peg. It allows assets to be transferred between chains while experimenting with new features. Sidechains rely on their own consensus mechanism, making their security distinct from Bitcoin’s.;
Signature;;AI written;A signature is the cryptographic proof generated with a private key to authorize a Bitcoin transaction. Bitcoin signatures use the ECDSA scheme (and Schnorr since Taproot). They enable verification that the spender controls the relevant keys without revealing them.;
Simplified Payment Verification (SPV);;AI written;SPV is a method allowing light nodes to verify transactions without downloading the full blockchain. By checking block headers and Merkle proofs, an SPV client can confirm that a transaction is included in a valid block, though it trusts that the majority of work follows consensus.;
Smart Contract;;AI written;A smart contract is a programmable agreement enforced by code. In Bitcoin, smart contracts are implemented via the scripting system using primitives like multisig, timelocks, and OP_RETURN. Unlike Ethereum, Bitcoin contracts are deliberately limited to enhance security and robustness.;
Soft Fork;;AI written;A soft fork is a backward-compatible protocol change in Bitcoin. Nodes that do not upgrade still recognize blocks as valid, though upgraded nodes enforce additional rules. Segwit and Taproot were both activated via soft forks.;
Soft Money;;AI written;Soft money refers to currencies that can be easily inflated or devalued by monetary authorities. It contrasts with hard money, which has strong scarcity properties. Bitcoin is often described as hard money due to its fixed supply cap of 21 million coins.;
Sound Money;;AI written;Sound money is money with a stable value rooted in scarcity, durability, and resistance to manipulation. Historically associated with the gold standard, the concept applies to Bitcoin because of its algorithmically enforced fixed supply.;
Stable Coin;;AI written;A stablecoin is a cryptocurrency designed to maintain price stability, typically by pegging to a fiat currency like the US dollar. Unlike Bitcoin, stablecoins depend on centralized issuers or collateral mechanisms, introducing counterparty and regulatory risks.;
Stacking Sats;;AI written;Stacking sats refers to the practice of regularly accumulating satoshis, often through dollar-cost averaging. It emphasizes long-term holding of Bitcoin regardless of short-term price volatility.;
Taproot;;AI written;Taproot is a Bitcoin protocol upgrade activated in 2021 via a soft fork. It introduces Schnorr signatures and Merklized Abstract Syntax Trees (MAST), improving privacy, efficiency, and the expressiveness of Bitcoin’s scripting capabilities.;
Testnet;;AI written;Testnet is a parallel Bitcoin network used for development and experimentation. It uses valueless coins and has different consensus parameters from mainnet, allowing developers to test applications without economic risk.;
Timestamp;;AI written;A timestamp in Bitcoin records the approximate time of block creation. Each block header contains a timestamp field, which miners set within certain bounds. Timestamps anchor the blockchain to real-world chronology and contribute to the difficulty adjustment algorithm.;
Transaction Confirmation;;AI written;A transaction confirmation occurs when a transaction is included in a valid block. Each additional block added on top increases the confirmation count, reducing the probability of a successful reorganization. Six confirmations are traditionally considered sufficient for high-value settlement.;
Transaction Fee;;AI written;A transaction fee is the difference between the sum of inputs and outputs in a Bitcoin transaction. Fees incentivize minersto include transactions in blocks and form the long-term security budget once the block subsidy diminishes.;
Unit of Exchange;;AI written;Unit of exchange refers to the monetary function of facilitating trade by acting as an intermediary in transactions. Bitcoin fulfills this role both on-chain and in the Lightning Network, though adoption as a widespread exchange medium is still developing.;
Virtual Byte (vByte);;AI written;A virtual byte (vByte) is a unit of measurement for transaction size under Segwit. It accounts for both witness and non-witness data with appropriate weight, aligning transaction fees with block space usage;
Wallet;;AI written;A wallet is software or hardware managing private keys and facilitating Bitcoin transactions. Wallets can be custodial or non-custodial, and may take forms such as hardware wallets, mobile wallets, or paper wallets.;
Whale;;AI written;A whale is an entity that holds a very large amount of bitcoin. Whale movements can influence market liquidity and price, though Bitcoin’s decentralized market structure limits their long-term impact.;
Whitepaper;;AI written;The Bitcoin whitepaper, published by Satoshi Nakamoto in 2008, introduced Bitcoin as a “peer-to-peer electronic cash system.” It describes the design of Proof-of-Work, the blockchain, and the incentive structure that secures the system.;
XBT;;AI written;XBT is an alternative ticker symbol for Bitcoin, based on the ISO 4217 currency code standard. While BTC is more common, XBT is used in some financial contexts to align with formal currency naming conventions.;
Xpub – Extended Public Key;;AI written;An extended public key (xpub) is a component of HD-wallets, defined in BIP32. It allows derivation of all child public keys without access to the private key. Xpubs are often used for generating receive addresses in merchant applications.;
Zero Confirmation;;AI written;A zero-confirmation transaction is one that has been broadcast to the network but not yet included in a block. While visible in the mempool, it remains vulnerable to double spending until confirmed.;
Zero Knowledge Proof;;AI written;A zero-knowledge proof is a cryptographic technique allowing one party to prove knowledge of a statement without revealing the statement itself. While not part of Bitcoin’s base protocol, zero-knowledge proofs are explored in other cryptocurrencies for privacy enhancements.;
